howfundId,tejId,FRId,FCId,FDId
how767,T1810B,,,
how768,T1810C,,,
how769,T1810D,,,
how770,T1810E,,,
how771,T1810F,,,
how772,T1810G,,,
how773,T1810H,,,
how774,T1811A,ABI006,,
how775,T1811B,,,
how776,T1811C,,,
how777,T1811D,,,
how778,T1811E,,,
how779,T1811F,,,
how780,T1811G,,,
how781,T1811H,,,
how782,T1812A,,,
how783,T1812B,,,
how784,T1813A,,,
how785,T1813B,,,
how786,T1813C,,,
how787,T1813D,,,
how788,T1814A,ABI001,,
how789,T1814B,,,
how790,T1814C,,,
how791,T1814D,,,
how792,T1814E,,,
how793,T1814F,,,
how794,T2003Y,JIH029,,
how795,T2004Y,JIH027,,
how796,T2005Y,JIH001,,
how797,T2006Y,JIH002,,
how798,T2007Y,,,
how799,T2008Y,JIH028,,
how800,T2011Y,JIH030,,
how801,T2029Y,JIH024,,
how802,T2030Y,JIH025,,
how803,T2031Y,JIH026,,
how804,T2035Y,JIH004,,
how805,T2036Y,JIH005,,
how806,T2037Y,JIH006,,
how807,T2038A,JIH007,,
how808,T2038B,,,
how809,T2038C,JIH009,,
how810,T2038D,,,
how811,T2038E,JIH011,,
how812,T2038F,,,
how813,T2040A,JIH023,,
how814,T2040B,,,
how815,T2042A,JIH020,,
how816,T2042B,JIH021,,
how817,T2042C,JIH022,,
how818,T2045A,JIH014,,
how819,T2045B,,,
how820,T2045C,JIH016,,
how821,T2045D,,,
how822,T2045E,JIH018,,
how823,T2045F,,,
how824,T2101Y,PBI010,,
how825,T2103Y,PBI068,,
how826,T2104Y,PBI020,,
how827,T2105B,,,
how828,T2105Y,PBI011,,
how829,T2106Y,PBI058,,
how830,T2107Y,PBI059,,
how831,T2108A,PBI060,,
how832,T2108B,,,
how833,T2109A,PBI062,,
how834,T2109B,,,
how835,T2109C,PBI065,,
how836,T2109D,,,
how837,T2109E,,,
how838,T2109F,,,
how839,T2109G,,,
how840,T2109H,,,
how841,T2109J,,,
how842,T2109K,,,
how843,T2109L,,,
how844,T2109M,,,
how845,T2111A,PBI001,,
how846,T2111B,,,
how847,T2111C,,,
how848,T2111D,,,
how849,T2111E,PBI005,,
how850,T2111F,,,
how851,T2111G,,,
how852,T2111H,,,
how853,T2111J,,,
how854,T2111K,,,
how855,T2111L,,,
how856,T2111M,,,
how857,T2111N,,,
how858,T2111P,,,
how859,T2111Q,,,
how860,T2111R,,,
how861,T2111S,,,
how862,T2112Y,,,
how863,T2113A,PBI013,,
how864,T2113B,,,
how865,T2113C,PBI016,,
how866,T2113D,,,
how867,T2113E,,,
how868,T2113F,,,
how869,T2113G,,,
how870,T2113H,,,
how871,T2113J,PBI017,,
how872,T2113K,,,
how873,T2113L,,,
how874,T2113M,,,
how875,T2114Y,PBI019,,
how876,T2117A,PBI021,,
how877,T2117B,,,
how878,T2117C,PBI024,,
how879,T2117D,,,
how880,T2117E,,,
how881,T2117F,,,
how882,T2117G,,,
how883,T2117H,,,
how884,T2117J,PBI025,,
how885,T2117K,,,
how886,T2117L,,,
how887,T2117M,,,
how888,T2117N,,,
how889,T2117P,,,
how890,T2117Q,,,
how891,T2117R,,,
how892,T2118A,PBI029,,
how893,T2118B,,,
how894,T2118C,PBI032,,
how895,T2118D,,,
how896,T2118E,,,
how897,T2118F,,,
how898,T2118G,,,
how899,T2118H,,,
