fundID,net
AZMAEDA,4.574
AZMAEDATE,0
AZMAEDATUH,0
AZMAEDATUN,0
AZMAEDB,0
AZMAEDBTE,0
AZMAEDBTUH,0
AZMAEDBTUN,0
AZMAITA,4.01
AZMAITATE,0
AZMAITATUH,0
AZMAITATUN,0
AZMAITB,0
AZMAITBTE,0
AZMAITBTUH,0
AZMAITBTUN,0
BAEAA,2.114
BAGF,67.33
BAGFGBP,50.67
BAGFU,60.52
BARUSS_CAPT,45.21
BASAA,1.765
BATB,28.84
BATBDIV,27.6
BAUAA,2.358
BEECF,281.7143
BEEF,65.5
BEEF-CI,71.48
BEEFGBP,49.3
BEEFGBP-CI,52.18
BEEFU,58.88
BEMEG,22.651
BESCG,35.2331
